no,major_no,name,phone
20260001,102,윤하윤,01066414789
20260002,101,김지유,01066055460
20260003,105,박하윤,01083406061
20260004,108,강채원,01074997243
20260005,103,김지유,01032227450
20260006,101,윤주원,01099618465
20260007,103,조하윤,01078254958
20260008,105,박주원,01098964542
20260009,105,박민준,01014723385
20260010,108,강하윤,01096539883
20260011,106,강예준,01098934259
20260012,106,김지우,01048958898
20260013,106,최지유,01066072693
20260014,104,윤하윤,01060594469
20260015,108,이하윤,01088124531
20260016,108,박채원,01033517731
20260017,101,정민준,01024628241
20260018,110,김서연,01069847889
20260019,110,조주원,01070722341
20260020,107,최민준,01049767629
20260021,103,조지유,01028838285
20260022,105,윤하윤,01063901197
20260023,110,김민준,01013804555
20260024,101,조채원,01015983129
20260025,110,조서준,01058948921
20260026,108,최도윤,01011404324
20260027,101,김지우,01049922454
20260028,105,임채원,01075277797
20260029,105,이지유,01069671722
20260030,105,이주원,01020688791
20260031,109,조채원,01073823841
20260032,109,조주원,01029551529
20260033,104,임지유,01064031222
20260034,105,박채원,01074357178
20260035,101,윤채원,01017054209
20260036,104,장예준,01034908182
20260037,109,이도윤,01039379765
20260038,101,이지우,01017565662
20260039,102,이민준,01085167941
20260040,107,조민준,01035171458
20260041,106,장하윤,01038365821
20260042,102,박채원,01063148222
20260043,110,이서연,01030243585
20260044,104,이도윤,01081852355
20260045,110,이하윤,01062808882
20260046,109,조서준,01018672444
20260047,104,장지유,01088379610
20260048,106,이예준,01088712428
20260049,104,정채원,01085043315
20260050,104,윤주원,01010575168
20260051,104,정지우,01030668471
20260052,102,조주원,01098206246
20260053,105,임서연,01057785392
20260054,106,장서준,01054123446
20260055,110,조주원,01010339564
20260056,103,최서준,01047104064
20260057,109,박지우,01079369890
20260058,104,조주원,01072162908
20260059,104,조주원,01086227396
20260060,102,박민준,01093944611
20260061,107,이주원,01080282089
20260062,101,장지우,01085388438
20260063,103,장주원,01098958122
20260064,106,조채원,01099807167
20260065,110,최채원,01022743856
20260066,109,정하윤,01019529637
20260067,102,김서준,01035507268
20260068,107,김서연,01017957600
20260069,108,최지유,01036821705
20260070,110,최지우,01065443184
20260071,110,장서연,01030113445
20260072,106,윤채원,01077384336
20260073,102,박하윤,01076207528
20260074,110,윤주원,01045558783
20260075,109,최주원,01015098941
20260076,106,이지우,01019218104
20260077,106,이주원,01075083511
20260078,106,윤지유,01068477234
20260079,109,임서준,01010395027
20260080,105,윤서준,01091426179
20260081,102,최민준,01058703327
20260082,101,윤도윤,01077829136
20260083,110,강예준,01084031275
20260084,101,장주원,01055597543
20260085,101,조채원,01012529651
20260086,105,윤도윤,01040771757
20260087,101,조서연,01099066344
20260088,103,강주원,01056978241
20260089,103,최채원,01012736485
20260090,109,김예준,01045747505
20260091,109,최주원,01026324712
20260092,106,정서연,01079246746
20260093,105,이지우,01030958471
20260094,101,강지우,01080426551
20260095,102,조예준,01047254923
20260096,105,강채원,01019972466
20260097,107,이하윤,01019404550
20260098,104,정지유,01090534143
20260099,109,조서연,01082621998
20260100,109,조서연,01054815366
20260101,103,정민준,01047794996
20260102,107,최하윤,01075304939
20260103,105,최예준,01067434191
20260104,102,이서연,01036097485
20260105,108,이하윤,01018802340
20260106,104,최예준,01061545532
20260107,102,장서연,01076585404
20260108,108,장지우,01026662521
20260109,102,이도윤,01037981312
20260110,109,최서준,01086125694
20260111,108,조도윤,01049896678
20260112,106,윤주원,01043203665
20260113,104,임도윤,01042575910
20260114,109,조도윤,01010198639
20260115,104,윤하윤,01083955419
20260116,103,박지유,01025044221
20260117,105,장서준,01057982161
20260118,110,윤하윤,01086109108
20260119,101,최주원,01077518488
20260120,104,박예준,01016729329
20260121,106,박민준,01019638041
20260122,104,김서연,01094858310
20260123,104,강주원,01098997277
20260124,110,최하윤,01095721474
