no,major_no,name,phone
20260001,106,조서연,01040992885
20260002,102,이민준,01078046964
20260003,108,윤예준,01041445174
20260004,107,강지유,01077725489
20260005,104,이주원,01077032519
20260006,104,이지유,01094911768
20260007,104,이지유,01083761478
20260008,101,장주원,01094644451
20260009,104,최도윤,01093088176
20260010,106,이채원,01036517086
20260011,106,장지우,01044452233
20260012,107,김서연,01084282275
20260013,101,조지유,01041525166
20260014,101,강지우,01050989069
20260015,109,강예준,01088589774
20260016,108,정예준,01053086744
20260017,104,조하윤,01068926745
20260018,102,김지우,01088814204
20260019,101,장하윤,01062869961
20260020,101,김서준,01036911435
20260021,103,임서준,01098769207
20260022,108,강도윤,01095664821
20260023,105,김서준,01073955176
20260024,107,장하윤,01069194312
20260025,110,박민준,01042074019
20260026,107,윤도윤,01076628845
20260027,109,이지우,01083499096
20260028,107,강도윤,01090799027
20260029,109,강도윤,01053054076
20260030,103,정하윤,01060942416
20260031,110,박예준,01040673276
20260032,104,조채원,01048869315
20260033,101,장도윤,01023244488
20260034,104,조주원,01011596833
20260035,106,정서연,01014653002
20260036,107,임채원,01012736010
20260037,103,최예준,01049004465
20260038,106,강민준,01096815972
20260039,104,정지유,01057324312
20260040,101,임도윤,01090716540
20260041,109,임하윤,01067462843
20260042,102,윤서연,01022578959
20260043,110,윤지유,01097665540
20260044,103,박서연,01062108130
20260045,107,정서연,01056087607
20260046,110,이민준,01099884278
20260047,106,강지유,01020138724
20260048,110,임하윤,01033775880
20260049,110,장주원,01095133020
20260050,107,최서연,01032914070
20260051,107,조민준,01060802761
20260052,108,정예준,01021146611
20260053,107,조채원,01086193399
20260054,104,임예준,01058863018
20260055,102,최하윤,01055911153
20260056,102,장주원,01024639394
20260057,101,박도윤,01085834723
20260058,103,정서준,01081239555
20260059,107,장도윤,01028883689
20260060,110,이하윤,01014506279
20260061,109,임예준,01016188287
20260062,110,정서준,01051106649
20260063,103,박지유,01046894439
20260064,105,임민준,01028106145
20260065,102,조하윤,01072219068
20260066,106,윤지우,01014339060
20260067,108,김하윤,01036968110
20260068,105,조주원,01011825486
20260069,103,윤하윤,01032643528
20260070,102,이채원,01041757843
20260071,108,조민준,01019259168
20260072,105,임서준,01051932596
20260073,102,윤채원,01075704068
20260074,109,임채원,01086385690
20260075,108,김도윤,01073997912
20260076,107,정채원,01067015931
20260077,106,윤민준,01066316404
20260078,101,강채원,01084603137
20260079,108,윤주원,01034753458
20260080,106,이하윤,01067645230
20260081,109,박하윤,01042059100
20260082,108,정도윤,01095524920
20260083,109,박주원,01038313152
20260084,102,조도윤,01061433564
20260085,108,박서연,01043545350
20260086,107,박서연,01094445540
20260087,110,이예준,01026798495
20260088,106,윤서준,01044365596
20260089,109,장도윤,01064562573
20260090,107,이지유,01072075691
20260091,106,윤서준,01019899752
20260092,101,임하윤,01060085862
20260093,108,최도윤,01094448251
20260094,101,윤예준,01091692625
20260095,107,이채원,01059244212
20260096,102,조주원,01075178324
20260097,105,조하윤,01066343217
20260098,105,윤지유,01062328908
20260099,102,김지우,01027874965
20260100,110,윤주원,01081146092
20260101,103,장하윤,01056608585
20260102,108,임서연,01032036666
20260103,103,김지우,01063249483
20260104,106,강주원,01039328392
20260105,103,조서준,01044039112
20260106,109,장민준,01054181223
20260107,106,박지유,01082772258
20260108,107,박도윤,01050107229
20260109,107,최채원,01039145240
20260110,104,강하윤,01021226479
20260111,104,강민준,01058205916
20260112,107,강지유,01088036567
20260113,106,임지우,01093676700
20260114,102,정예준,01049338034
20260115,102,장채원,01041581503
20260116,103,강지우,01042479067
20260117,107,강민준,01027346461
20260118,103,박지유,01098902090
20260119,104,이민준,01065914152
20260120,103,정민준,01053303195
20260121,104,김서준,01068931311
20260122,102,윤서연,01010085686
20260123,103,정하윤,01061088382
20260124,105,김예준,01089297334
20260125,104,박채원,01088706670
20260126,102,최도윤,01069556208
20260127,106,임지우,01038912134
20260128,106,박도윤,01044079528
20260129,109,임지우,01017417944
20260130,107,윤서준,01061827147
20260131,102,조주원,01071631331
20260132,103,강서준,01073718102
20260133,102,임주원,01045118816
20260134,105,김채원,01081154577
20260135,106,최지유,01025548865
20260136,109,임서연,01047656477
20260137,107,조지유,01071356571
20260138,104,윤하윤,01048601285
20260139,110,강주원,01075288077
20260140,108,장서연,01055355251
20260141,105,조지유,01057426403
20260142,108,장채원,01046554293
20260143,101,조주원,01015291059
20260144,110,강주원,01017763971
20260145,107,이지우,01050083951
20260146,103,이민준,01041032481
20260147,109,윤주원,01077565191
20260148,101,최예준,01077123876
20260149,109,윤하윤,01044084129
20260150,103,조서연,01059962823
20260151,108,조서연,01050274722
20260152,106,장주원,01036456155
20260153,103,김주원,01099072695
20260154,109,정서연,01058663859
20260155,105,최주원,01018145267
20260156,109,장지우,01040115250
20260157,104,이도윤,01026178119
20260158,110,정서연,01018542897
20260159,110,장주원,01037753486
20260160,110,장지유,01020622146
20260161,109,정지우,01035058357
20260162,101,장채원,01031322424
20260163,110,강하윤,01047128856
20260164,104,이도윤,01079521504
20260165,110,정지우,01099708723
20260166,104,김도윤,01085133333
20260167,101,박주원,01074482293
20260168,102,이채원,01068145433
20260169,108,조서준,01020851373
20260170,105,박서준,01020174137
20260171,105,장주원,01024233240
20260172,106,강채원,01020969121
20260173,106,임지우,01029191121
20260174,110,임채원,01076396757
20260175,109,김지우,01037195005
20260176,103,이예준,01022112542
20260177,103,윤하윤,01014883104
20260178,105,최도윤,01082524600
20260179,108,박예준,01052226511
20260180,109,김도윤,01035201527
20260181,102,임하윤,01086763084
20260182,107,박주원,01074238093
20260183,103,장민준,01065733189
20260184,110,임채원,01052508784
20260185,103,강서연,01040306635
20260186,107,강서준,01042906321
20260187,105,박지우,01058316494
20260188,101,조지유,01086509222
20260189,104,장예준,01050437695
20260190,103,윤채원,01077496049
20260191,108,이서준,01049699659
20260192,109,강주원,01087814858
20260193,102,박도윤,01039416317
20260194,110,정주원,01021806849
20260195,109,장서준,01092617107
20260196,108,강채원,01079141984
20260197,103,김민준,01048416068
20260198,109,정지우,01085337311
20260199,102,조채원,01024295376
20260200,105,이예준,01079742713
